movie_name,main_genre,runtime_minutes,release_date,data_cutoff_date,cumulative_box_office_cny,cumulative_screenings,cumulative_audience,maoyan_score,douban_score,latest_schedule_share_pct,movie_id,screening_decision_boundary,state,data_nature
长津湖之水门桥,战争,149,2022-02-01,2022-03-02,2766429646.52,1161376,52062562,9.6,7.2,29.85,B023-FILM-001,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
这个杀手不太冷静,喜剧,109,2022-02-01,2022-03-02,1564847560.27,839303,30117519,9.2,6.6,25.03,B023-FILM-002,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
奇迹·笨小孩,剧情,0,2022-02-01,2022-03-02,765739575.37,585002,14887903,9.5,7.4,15.34,B023-FILM-003,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
狙击手,剧情,0,2022-02-01,2022-03-02,310190516.1,331885,6100905,9.5,7.7,10.9,B023-FILM-004,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
熊出没·重返地球,动画,95,2022-02-01,2022-03-04,640858670.1,372086,12842890,9.5,6.7,9.88,B023-FILM-005,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
四海,剧情,0,2022-02-01,2022-03-02,487548952.8,364516,8938628,8.9,5.6,4.87,B023-FILM-006,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
喜羊羊与灰太狼之筐出未来,动画,94,2022-02-01,2022-03-02,112671682.85,188222,2480823,9.3,6.7,3.06,B023-FILM-007,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
小虎墩大英雄,动画,90,2022-02-01,2022-03-02,18667033.21,44068,365736,9.3,0.0,0.61,B023-FILM-008,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
汪汪队立大功大电影,动画,88,2022-01-14,2022-02-12,77589876.23,503890,2357389,9.2,7.2,0.26,B023-FILM-009,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
带你去见我妈,喜剧,100,2022-01-07,2022-02-05,22965609.69,87984,672822,9.5,7.6,0.04,B023-FILM-010,历史经营演练；新排片须结合本影院容量和实时售票,待模拟排片,用户提供的 2022 春节档历史快照
