intake_id,region,vehicle_class,symptom_text,symptom_category,safety_review_required,workflow_state,allowed_action,row_level_link_to_reference,automatic_repair_allowed,data_nature
CN-AS-001,华东,乘用车,制动时右前侧出现短促金属异响,brake,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-002,华南,轻型商用车,缓慢爬坡后水温提示升高,cooling,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-003,华北,乘用车,地库低速转弯时方向盘连续抖动,steering,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-004,西南,轻型商用车,夜间启动后仪表反复提示蓄电池电压低,electrical,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-005,华东,乘用车,仪表提示保养到期，想确认应做哪些检查,maintenance,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-006,华南,轻型商用车,轮胎换位后高速行驶仍有轻微抖动,tire,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-007,华北,乘用车,雨天低速制动时后部传来摩擦声,brake,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-008,西南,轻型商用车,堵车约二十分钟后温度提示接近高位,cooling,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-009,华东,乘用车,直线行驶正常，掉头时方向盘发涩,steering,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-010,华南,轻型商用车,停放两天后启动较慢，仪表曾亮电池提示,electrical,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-011,华北,乘用车,上次保养项目记不清，近期准备长途出行,maintenance,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-012,西南,轻型商用车,补胎后胎压提示仍未消失,tire,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-013,华东,乘用车,踩下制动踏板后异响偶尔伴随轻微振动,brake,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-014,华南,轻型商用车,高速驶出后闻到异味，但未看到明显泄漏,cooling,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-015,华北,乘用车,经过减速带后方向盘在低速时向一侧偏,steering,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-016,西南,轻型商用车,打开空调和大灯后仪表亮度明显波动,electrical,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-017,华东,乘用车,车辆使用频率低，已到时间保养周期,maintenance,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-018,华南,轻型商用车,左后轮慢漏气，隔夜后胎压再次下降,tire,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-019,华北,乘用车,倒车出库轻踩制动时出现尖锐声,brake,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-020,西南,轻型商用车,短途行驶后风扇持续运转，温度提示偏高,cooling,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-021,华东,乘用车,高速变道时方向盘反馈比平时更重,steering,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-022,华南,轻型商用车,启动车辆时中控短暂重启，未确认警示内容,electrical,True,待技师初检,handoff_to_technician,False,False,deterministic-synthetic-cn-operations
CN-AS-023,华北,乘用车,里程接近保养节点，希望先核对历史项目,maintenance,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
CN-AS-024,西南,轻型商用车,通过坑洼路面后右前轮附近持续有轻微震动,tire,False,待服务顾问核对,lookup_reference,False,False,deterministic-synthetic-cn-operations
