review_id,session_id,observation_label,operating_mode,health_deviation_index,rule_threshold,dominant_deviation_signal,evidence_coverage,rule_review_level,suggested_manual_action,data_nature
BR-0001,BD-0122,02-15,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0002,BD-0123,02-15,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0003,BD-0124,02-16,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0004,BD-0125,02-16,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0005,BD-0126,02-16,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0006,BD-0127,02-16,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0007,BD-0128,02-16,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0008,BD-0129,02-16,5,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0009,BD-0183,03-12,4,12,6.17829115,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0010,BD-0184,03-12,4,12,6.17829115,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0011,BD-0185,03-12,4,12,6.17829115,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
