reference_id,customer_id,city,state,service_history,common_problem,historical_solution,vehicle_brand,data_nature
VS-0001,1,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0002,2,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Rotation,Engine overheating,Radiator replacement,Hyundai,public-reference
VS-0003,3,Ananthapuram,Andhra Pradesh,Bodywork; Paint Job,Dents and scratches,Body repair and repaint,Tata Motors,public-reference
VS-0004,4,Ananthapuram,Andhra Pradesh,Oil Change; General Maintenance,Oil leak,Oil seal replacement,Mahindra & Mahindra,public-reference
VS-0005,5,Ananthapuram,Andhra Pradesh,Tire Alignment; Engine Repair,Misaligned wheels,Wheel alignment,Honda,public-reference
VS-0006,6,Ananthapuram,Andhra Pradesh,Check Engine Light; Diagnostics,Check engine light,Diagnostic scan and repairs,Toyota,public-reference
VS-0007,7,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake fluid leak,Brake fluid replacement,Ford,public-reference
VS-0008,8,Ananthapuram,Andhra Pradesh,Exhaust Repair; General Maintenance,Exhaust leak,Exhaust system repair,Nissan,public-reference
VS-0009,9,Ananthapuram,Andhra Pradesh,Transmission Service; Brake Fluid Change,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0010,10,Ananthapuram,Andhra Pradesh,Body Repair; Tire Replacement,Body damage,Body repair,Renault,public-reference
VS-0011,11,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Hero MotoCorp,public-reference
VS-0012,12,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement,Ford,public-reference
VS-0013,13,Ananthapuram,Andhra Pradesh,Suspension Repair; Brake Service,Steering issues,Suspension adjustment,Audi,public-reference
VS-0014,14,Ananthapuram,Andhra Pradesh,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing,Skoda,public-reference
VS-0015,15,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service,Kia,public-reference
VS-0016,16,Ananthapuram,Andhra Pradesh,Brake Inspection; Diagnostics,Brake wear,Brake replacement,Bajaj Auto,public-reference
VS-0017,17,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment,Hero MotoCorp,public-reference
VS-0018,18,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,TVS Motor Company,public-reference
VS-0019,19,Ananthapuram,Andhra Pradesh,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan,Royal Enfield,public-reference
VS-0020,20,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Honda (Motorcycle),public-reference
VS-0021,21,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,Yamaha,public-reference
VS-0022,22,Ananthapuram,Andhra Pradesh,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush,Suzuki (Motorcycle),public-reference
VS-0023,23,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change,Kia,public-reference
VS-0024,24,Ananthapuram,Andhra Pradesh,Oil Change; Battery Replacement,Dead battery,Battery replacement,Kia,public-reference
VS-0025,25,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Misaligned tires,Tire alignment,Tata Motors,public-reference
VS-0026,26,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0027,27,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement,Ford,public-reference
VS-0028,28,Ananthapuram,Andhra Pradesh,Suspension Repair; Brake Service,Steering issues,Suspension adjustment,Honda,public-reference
VS-0029,29,Ananthapuram,Andhra Pradesh,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing,Toyota,public-reference
VS-0030,30,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service,Mahindra & Mahindra,public-reference
VS-0031,31,Ananthapuram,Andhra Pradesh,Brake Inspection; Diagnostics,Brake wear,Brake replacement,Nissan,public-reference
VS-0032,32,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment,Volkswagen,public-reference
VS-0033,33,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Renault,public-reference
VS-0034,34,Ananthapuram,Andhra Pradesh,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan,Hyundai,public-reference
VS-0035,35,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Bajaj Auto,public-reference
VS-0036,36,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0037,37,Ananthapuram,Andhra Pradesh,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush,Hero MotoCorp,public-reference
VS-0038,38,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change,Toyota,public-reference
VS-0039,39,Ananthapuram,Andhra Pradesh,Oil Change; Battery Inspection,Dead battery,Battery replacement,Hyundai,public-reference
VS-0040,40,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation,Honda,public-reference
VS-0041,41,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake squeal,Brake pad replacement,Tvs,public-reference
VS-0042,42,Ananthapuram,Andhra Pradesh,Engine Check; Suspension Repair,Steering issues,Suspension adjustment,Kia,public-reference
VS-0043,43,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Tata Motors,public-reference
VS-0044,44,Ananthapuram,Andhra Pradesh,Transmission Service; Oil Change,Slipping transmission,Transmission fluid change,Maruti Suzuki,public-reference
VS-0045,45,Ananthapuram,Andhra Pradesh,Fluid Check; Tire Replacement,Poor fuel economy,Fuel system cleaning,Honda,public-reference
VS-0046,46,Ananthapuram,Andhra Pradesh,Check Engine Light; General Maintenance,Check engine light,Diagnostic scan,Royal Enfield,public-reference
VS-0047,47,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Engine Repair,Brake fluid leak,Brake fluid replacement,Yamaha,public-reference
VS-0048,48,Ananthapuram,Andhra Pradesh,Tire Alignment; Oil Change,Misaligned wheels,Wheel alignment,KTM,public-reference
VS-0049,49,Ananthapuram,Andhra Pradesh,Oil Change; Battery Replacement,Dead battery,Battery replacement,Suzuki (Motorcycle),public-reference
VS-0050,50,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tire Rotation,Engine misfiring,Spark plug replacement,Tvs,public-reference
VS-0051,51,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Ford,public-reference
VS-0052,52,Ananthapuram,Andhra Pradesh,Exhaust Leak; Oil Change,Exhaust noise,Exhaust system repair,Mahindra & Mahindra,public-reference
VS-0053,53,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Fluid Change,Transmission slipping,Transmission fluid change,Nissan,public-reference
VS-0054,54,Ananthapuram,Andhra Pradesh,Oil Change; Battery Check,Dead battery,Battery replacement,Volkswagen,public-reference
VS-0055,55,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Alignment,Fluid leak,Fluid replacement,Hyundai,public-reference
VS-0056,56,Ananthapuram,Andhra Pradesh,Suspension Repair; Engine Check,Steering issues,Suspension adjustment,Toyota,public-reference
VS-0057,57,Ananthapuram,Andhra Pradesh,Brake Service; General Maintenance,Brake wear,Brake replacement,Bajaj Auto,public-reference
VS-0058,58,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,TVS Motor Company,public-reference
VS-0059,59,Ananthapuram,Andhra Pradesh,"Oil Change, Brake Inspection",Engine overheating,Check coolant level; flush radiator; replace thermostat.,Hero Motocrop,public-reference
VS-0060,60,Ananthapuram,Andhra Pradesh,"Tire Rotation, Brake Replacement",Brakes making noise,Inspect pads/rotors; replace if worn.,Mercedes-Benz,public-reference
VS-0061,61,Ananthapuram,Andhra Pradesh,Transmission Service; Diagnostics,Transmission slipping,Transmission fluid change,Tata Motors,public-reference
VS-0062,62,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Ford,public-reference
VS-0063,63,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0064,64,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Misaligned wheels,Wheel alignment,Nissan,public-reference
VS-0065,65,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Check,Engine misfiring,Spark plug replacement,Volkswagen,public-reference
VS-0066,66,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0067,67,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Alignment,Misaligned tires,Tire alignment,Toyota,public-reference
VS-0068,68,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0069,69,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0070,70,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0071,71,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0072,72,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0073,73,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0074,74,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0075,75,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0076,76,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0077,77,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0078,78,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0079,79,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0080,80,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0081,81,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
VS-0082,82,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0083,83,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0084,84,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0085,85,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0086,86,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0087,87,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Tata Motors,public-reference
VS-0088,88,Ananthapuram,Andhra Pradesh,Exhaust Repair; Engine Check,Exhaust noise,Exhaust system repair,Bajaj Auto,public-reference
VS-0089,89,Ananthapuram,Andhra Pradesh,Battery Inspection; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0090,90,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0091,91,Ananthapuram,Andhra Pradesh,Engine Repair; Brake Service,Engine overheating,Cooling system flush,Hyundai,public-reference
VS-0092,92,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0093,93,Ananthapuram,Andhra Pradesh,Tire Replacement; Diagnostics,Tire damage,Tire replacement,Tata Motors,public-reference
VS-0094,94,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine misfiring,Spark plug replacement,Nissan,public-reference
VS-0095,95,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0096,96,Ananthapuram,Andhra Pradesh,Brake Service; Tire Inspection,Brake wear,Brake pad replacement,Hero MotoCorp,public-reference
VS-0097,97,Ananthapuram,Andhra Pradesh,Fluid Check; Engine Diagnostics,Fluid leak,Fluid replacement,Volkswagen,public-reference
