lab_id,step_id,stage,title,detail,status,artifact
"S01","01","观察","核对五张任务卡","输入覆盖完整CSV任务、缺少路径和未授权删除三类情况。","ready","01-data-profile.decision.json"
"S01","02","选择","三项选择、两项停止","确定性 capability-router 选择3项本地Skill，阻断2项不完整或越权任务。","selected","02-metric-brief.decision.json"
"S01","03","动作","只输出能力决定","路由器只生成decision JSON，没有替用户继续执行数据分析或删除动作。","complete","05-opportunity-map.decision.json"
"S01","04","检查","停手规则生效","缺少csv_path时停止；delete_source未授权时停止；这不是在线Agent回执。","passed","04-unauthorized-delete.decision.json"
"S02","01","观察","完整读取空气质量切片","北京空气质量课程切片有21039行、21列。","ready","profile.json"
"S02","02","选择","使用 data-profile","先确定数据质量，再进入任何站点或月份比较。","selected","profile.json"
"S02","03","动作","生成只读体检","完整扫描CSV，生成机器结果和一页Markdown摘要，不改写源文件。","complete","profile.md"
"S02","04","检查","空值率逐项复算","完全重复0行；PM2.5缺失2.21%，CO缺失4.88%；不自动填补或删行。","passed","profile.json"
"S03","01","观察","确认会员表能回答什么","5000名会员只有行为计数和课程派生分层，没有金额与绝对事件时间。","ready","metrics.json"
"S03","02","选择","使用 metric-brief","围绕成长分层和每人8元实验参数计算可得指标，同时保留不可计算项。","selected","metrics.json"
"S03","03","动作","生成发券实验简报","成长分层1250人；全量名义面额上限为10000元。","complete","business-brief.md"
"S03","04","检查","不补造经营结果","历史收入、客单价、复购周期和ROI不可计算；券面额不是实际核销成本。","passed","business-brief.md"
"S04","01","观察","读取门店访谈","店长说差评来时不知道先找订单、先回复还是先问区域经理。","ready","interview-notes.json"
"S04","02","选择","问题框定加机会树","先聚合决策困难，再形成可以验证的机会节点。","selected","method-decision.json"
"S04","03","动作","建立机会节点","机会不是做一个AI按钮，而是缩短订单定位与审批等待。","complete","opportunity-map.json"
"S04","04","检查","选择首个验证","先验证订单关联能否把平均定位时间降到三分钟。","passed","opportunity-map.json"
"S05","01","观察","读取雨天旧书店简报","受众、标题、必备文字、画面主体和禁用项都已给出。","ready","poster-recipes.json"
"S05","02","选择","比较三个构图方向","雨夜橱窗、字成雨幕、避雨入口在构图、字体和色彩锚点上不同。","selected","poster-recipes.json"
"S05","03","动作","生成选中方向的本地SVG","确定性本地评分选中雨夜橱窗，并输出可编辑SVG。","complete-local","poster.svg"
"S05","04","检查","区分本地预览与在线生成","本轮没有调用图像Provider，SVG不是在线生成图片回执。","passed-local","poster.svg"
"S06","01","观察","读取五段Markdown大纲","输入包含标题、章节、正文、数据表和待绘图内容。","ready","outline.md"
"S06","02","选择","使用 slide-plan","将语义内容映射为五种页型，并保留备注、来源和可编辑对象。","selected","slide-plan.json"
"S06","03","动作","生成五页可编辑PPTX","生成presentation.pptx和五张1280×720渲染图。","complete","presentation.pptx"
"S06","04","检查","逐页视觉与结构检查","五页都有标题、备注和来源；空白、越界、重叠和溢出均为0。","passed","visual-qa.json"
"S07","01","观察","读取PixiJS原型要求","当前完成条件是键盘移动、45秒计时、重启和浏览器控制台检查。","ready","request.json"
"S07","02","选择","使用 pixijs-game-contract","交付物需要浏览器状态、键盘控制、重启规则和资源销毁合同。","selected","game-contract.json"
"S07","03","动作","生成并构建交互原型","项目完成生产构建，R键可重置，方向键可移动。","complete","game-contract.json"
"S07","04","检查","真实浏览器验证当前范围","坐标120,160移到136,160，倒计时45变44，控制台0错误0警告；得分与完整对局未验证。","passed","browser-verification.json"
"S08","01","观察","读取本地三角形资产合同","现有工件是768字节GLB课程夹具，不是在线生成的工业模型。","ready","request.json"
"S08","02","选择","使用 asset-contract","先检查格式、单位、朝向、三角面与文件大小预算，再构建查看器。","selected","asset-contract.json"
"S08","03","动作","检查GLB并构建查看器","本地资产有3个顶点、1个三角面；Three.js查看器已生成。","complete-local","inspection-glb.json"
"S08","04","检查","浏览器通过、Provider未执行","真实浏览器加载完成且控制台0错误0警告；外部文字转3D没有请求或下载资产。","passed-local","browser-verification.json"
